bundle,pearson arousal,pearson valence,ccc arousal,ccc valence
10,-0.005034763,0.017883484,-0.003613123,0.011599144
100,0.052022084,0.061643971,0.049615344,0.004656042
101,-0.006375122,-0.02203547,-0.00211287,-0.004640767
102,-0.041332146,-0.009278762,-0.013472582,-0.001491351
103,-0.037651606,0.00540314,-0.009795404,0.004952289
106,-0.003086685,0.050406356,-0.001939942,0.012980329
107,0.035849726,-0.013057326,0.011831719,-0.005682821
108,-0.07070887,0.003410857,-0.064984625,0.00033173
109,-0.093880531,-0.097077649,-0.089739828,-0.090796403
11,-0.042165438,-0.024090651,-0.014565996,-0.003349634
112,0.00242084,0.03772252,0.00182711,0.003069993
113,-0.050212699,-0.027337956,-0.048769565,-0.006202749
114,0.032678,0.037738591,0.020133651,0.006678084
115,-0.053920583,-0.015814278,-0.012946537,-0.002439162
118,0.005777524,0.045440016,0.001822227,0.003898934
119,0.04598672,0.05738393,0.041838515,0.00613155
120,0.104249288,0.065691267,0.097210875,0.02429329
121,-0.002985924,-0.023866938,-0.000347923,-0.013964851
122,-0.008525342,0.022851513,-0.006562822,0.00246519
125,-0.04792422,0.055660234,-0.045775287,0.011116543
126,-0.047515954,-0.027118489,-0.032817655,-0.01725892
127,0.016230665,-0.076284364,0.002820537,-0.064821007
128,-0.025331385,-0.035949497,-0.008416753,-0.014704544
13,-0.021563262,0.018251658,-0.004777765,0.014938253
131,-0.016647262,-0.03154043,-0.013876426,-0.005468194
132,-0.038543621,-0.027650881,-0.024490352,-0.009634412
133,0.021475132,-0.036594699,0.020125855,-0.004706466
134,-0.008459785,0.004760432,-0.005377318,0.001007361
137,-0.001477162,0.001120243,-0.000884744,5.51E-05
138,-0.019540666,0.000289963,-0.011395369,6.12E-05
139,-0.045624408,-0.065317074,-0.031400571,-0.012810045
14,-0.08511042,0.036255959,-0.083288348,0.012553228
140,-0.003120353,-0.062134234,-0.001517157,-0.013173595
15,-0.022427315,0.031764858,-0.013379538,0.024146838
16,0.068036792,0.025174391,0.06687023,0.004106221
19,-0.046610885,0.015217001,-0.012684957,0.004820654
2,-0.002231613,-0.04546631,-0.001132905,-0.009337947
20,-0.029262057,0.001028735,-0.016703589,0.000189526
21,-0.035380581,-0.026263214,-0.028505139,-0.002763935
22,-0.07815575,0.033333359,-0.037902949,0.009200377
25,0.020095787,0.030670504,0.007718561,0.006732127
26,-0.06583346,-0.00237271,-0.061449218,-0.000284068
27,-0.045102976,-0.009605785,-0.01406012,-0.007550267
29,0.04079982,0.040429036,0.027374101,0.010251132
3,-0.064486919,0.032882354,-0.063967918,0.010701137
30,0.071631694,0.028195164,0.021945509,0.004956188
31,0.026738932,0.01661607,0.023474361,0.007385268
34,0.018066978,0.008905223,0.014720027,0.00160559
35,0.001584704,-0.019260542,0.000864677,-0.00902897
36,-0.02206329,0.008835366,-0.021719253,0.002370364
37,-0.083025448,0.018803802,-0.036048553,0.001464775
4,-0.02704444,-0.035370958,-0.01355502,-0.014139469
40,-0.124147402,-0.025565078,-0.085712479,-0.018268493
41,-0.022347099,0.04552466,-0.019258394,0.005630996
42,-0.112714261,-0.03669922,-0.07890594,-0.01460329
43,-0.037086494,-0.004280447,-0.020557864,-0.000949338
46,-0.076962414,0.003646777,-0.067932083,0.001316469
47,-0.069111149,-0.039340543,-0.046088935,-0.019519112
48,-0.008194665,0.024507045,-0.005812542,0.014441048
49,0.011293725,0.056982668,0.000922813,0.00636217
5,0.017835554,0.006340906,0.014855267,0.002903207
52,0.063971941,-0.050132542,0.037310728,-0.012082496
53,0.010077501,0.004618821,0.007865518,0.003527486
54,-0.01601901,0.032520645,-0.012548812,0.011383756
55,-0.124825689,-0.007027416,-0.084965604,-0.000673686
58,0.029855402,-0.020857639,0.012338032,-0.003666512
59,-0.053361585,0.001196454,-0.032412544,0.000688995
60,-0.01609987,0.022345761,-0.014099038,0.00192334
61,0.059516188,-0.046852166,0.007536554,-0.016853987
64,0.050069853,0.027491544,0.005170493,0.003319548
65,0.012354562,0.037268278,0.002955877,0.015257776
66,-0.038825471,-0.037947222,-0.009562129,-0.004251399
67,0.0010314,0.020077989,0.000172426,0.004896051
70,0.025743977,0.020998356,0.023117923,0.004154774
71,0.032958798,-0.021525295,0.017446927,-0.004306847
72,0.010375626,-0.023591693,0.002612302,-0.018000647
73,0.082976647,-0.003137137,0.077046572,-0.002482308
76,0.024350847,-0.035909437,0.007574982,-0.012884585
77,-0.04043908,-0.025999786,-0.027399535,-0.003917906
78,-0.000124212,-0.048935924,-8.43E-05,-0.024386272
79,0.016603951,0.007862039,0.011487011,0.000488147
8,-0.01717652,0.027477826,-0.014334571,0.012065924
82,0.038284592,0.078940243,0.0366129,0.007111027
83,-0.057222147,-0.054730439,-0.010060109,-0.029197265
84,-0.002181605,-0.006249499,-0.000576034,-0.004393261
85,-0.096669216,-0.021020762,-0.020547205,-0.005234763
88,-0.05474141,-0.03285654,-0.024524648,-0.006000633
89,0.039237291,-0.007138353,0.018711718,-0.001868662
9,-0.025268175,-0.003470123,-0.013596067,-0.001823213
90,-0.024977301,0.014193667,-0.019549396,0.003176666
91,-0.044959141,-0.03739749,-0.014966862,-0.012800844
94,0.052683016,0.026997041,0.044153061,0.003193645
95,0.084215777,0.058053144,0.056464909,0.034266669
96,0.017396317,0.00860736,0.008729471,0.00517606
97,0.046330051,0.082612161,0.040956719,0.013245507
MAX,0.104249288,0.082612161,0.097210875,0.034266669
MIN,-0.124825689,-0.097077649,-0.089739828,-0.090796403
AVERAGE,-0.011273781,0.00103032,-0.00666566,-0.001780709
